gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,lore_historico
15,BEAU,Beaufighter,Bristol Beaufighter,Heavy Fighter / Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=135,The Bristol Type 156 Beaufighter (often called the Beau) is a British multi-role aircraft developed during the Second World War by the Bristol Aeroplane Company. It was originally conceived as a heavy fighter variant of the Bristol Beaufort torpedo bomber.
16,BEAUF,Beaufort,Bristol Beaufort,Torpedo Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=307,"The Bristol Beaufort (manufacturer designation Type 152) is a British twin-engined torpedo bomber designed by the Bristol Aeroplane Company, and developed from experience gained designing and building the earlier Blenheim light bomber. At least 1,180 Beauforts were built by Bristol and other British manufacturers.
Beauforts first saw service with Royal Air Force Coastal Command and then the Royal Navy Fleet Air Arm from 1940."
17,BLEN,Blenheim,Bristol Blenheim,Light / Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=293,"The Bristol Blenheim is a British light bomber designed and built by the Bristol Aeroplane Company, which was used extensively in the first two years of the Second World War, with examples still being used as trainers until the end of the war. Development began with the Type 142, a civil airliner, after a challenge from the newspaper proprietor Lord Rothermere to produce the fastest commercial aircraft in Europe."
18,BOM,Bombay,Bristol Bombay,Troop Transport / Medium Bomber,http://en.wikipedia.org/wiki/Bristol_Bombay,The Bristol Bombay was a British troop transport aircraft adaptable for use as a medium bomber flown by the Royal Air Force (RAF) during the Second World War..
19,Catalina,Catalina,PBY Catalina,Long-Range Maritime Patrol Flying Boat,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=318,"PBY Catalina Survivors identifies Catalinas on display, and includes aircraft designations, status, serial numbers, locations and additional information. The Consolidated PBY Catalina was a twin-engined American flying boat of the 1930s and 1940s, designed by Consolidated Aircraft Co."
20,F4U,F4U,Vought F4U Corsair,Carrier-Based Fighter / Fighter-Bomber / Night Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=87,"The Vought F4U Corsair is an American fighter aircraft that saw service primarily in World War II and the Korean War. Designed and initially manufactured by Chance Vought, the Corsair was soon in great demand; additional production contracts were given to Goodyear, whose Corsairs were designated FG, and Brewster, designated F3A.
The Corsair was designed and principally operated as a carrier-based aircraft, and entered service in large numbers with the U.S."
21,GLAD,Gladiator,Gloster Gladiator,Biplane Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=624,"The Gloster Gladiator is a biplane fighter aircraft designed and produced by the British aviation firm Gloster Aircraft Company, Ltd.. It was the last biplane fighter to be flown by the Royal Air Force (RAF) as well as being the first to be provisioned with an enclosed cockpit; it was also operated by the Fleet Air Arm (FAA) (as the Sea Gladiator variant) as well as being exported to numerous other air services during the late 1930s.
The Gladiator was developed during the mid 1930s as a private venture, being initially referred to the Gloster SS.37 and derived from the Gloster Gauntlet."
22,HALI,Halifax,Handley Page Halifax,Heavy Night Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=233,"The Handley Page Halifax is a British Royal Air Force (RAF) four-engined heavy bomber of the Second World War. It was developed by Handley Page to the same specification as the contemporary twin-engine Avro Manchester.
The Halifax has its origins in the twin-engine H.P.56 proposal of the late 1930s, produced in response to the British Air Ministry's Specification P.13/36 for a capable medium bomber for ""world-wide use."" The H.P.56 was ordered as a backup to the Avro 679, both aircraft being designed to use the Rolls-Royce Vulture engine."
23,HAMP,Hampden,Handley Page HP.52 Hampden,Medium Bomber,http://en.wikipedia.org/wiki/Handley_Page_Hampden,"The Handley Page HP.52 Hampden was a British twin-engine medium bomber that was operated by the Royal Air Force (RAF). It was part of the trio of large twin-engine bombers procured for the RAF, joining the Armstrong Whitworth Whitley and Vickers Wellington."
24,HAR,Hawker Hardy,Hawker Hardy,Biplane Light Bomber,http://en.wikipedia.org/wiki/Hawker_Hart#Hardy,"Hawker Aircraft Limited was a British aircraft manufacturer that was responsible for some of the most famous products in British aviation history.

."
25,Hudson,Hudson,Lockheed Hudson,Light Bomber,http://en.wikipedia.org/wiki/Lockheed_Hudson,The Lockheed Hudson is a light bomber and coastal reconnaissance aircraft built by the American Lockheed Aircraft Corporation.  It was initially put into service by the Royal Air Force shortly before the outbreak of the Second World War and primarily operated by it thereafter.
26,HURR,Hurricane,Hawker Hurricane,Fighter / Ground Attack,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=125,"Hawker Aircraft Limited was a British aircraft manufacturer that was responsible for some of the most famous products in British aviation history.

."
27,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,"The Avro Lancaster, commonly known as the Lancaster Bomber, is a British Second World War heavy bomber. It was designed and manufactured by Avro as a contemporary of the Handley Page Halifax, both bombers having been developed to the same specification, as well as the Short Stirling, all three aircraft being four-engine heavy bombers adopted by the Royal Air Force (RAF) during the same era.
The Lancaster has its origins in the twin-engine Avro Manchester, which had been developed during the late 1930s in response to the Air Ministry Specification P.13/36 for a medium bomber for ""world-wide use"", to carry a torpedo internally and make shallow dive-bombing attacks."
28,JU86,Ju 86,Junkers Ju 86,Reconnaissance / Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=825,"The Junkers Ju 86 is a monoplane bomber and civilian airliner designed and produced by the German aircraft manufacturer Junkers.
It was designed during the mid-1930s in response to a specification for a modern twin-engined aircraft suitable for use as both a high-speed airliner and a bomber. Junkers responded with a low-winged twin-engined all-metal monoplane; unusually, it was intended to be powered by Junkers Jumo 205 diesel engines instead of petrol engines for greater fuel efficiency."
29,LYS,Lysander,Westland Lysander,Liaison Aircraft,http://en.wikipedia.org/wiki/Westland_Lysander,"The Westland Lysander is a British army co-operation and liaison aircraft produced by Westland Aircraft that was used immediately before and during the Second World War.
After becoming obsolete in the army co-operation role, the aircraft's short-field performance enabled clandestine missions using small, improvised airstrips behind enemy lines to place or recover agents, particularly in occupied France with the help of the French Resistance. Royal Air Force army co-operation aircraft were named after mythical or historical military leaders; in this case the Spartan admiral Lysander was chosen.."
30,MANC,Manchester,Avro Manchester,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=691,"The Avro 679 Manchester was a British twin-engine heavy bomber developed and manufactured by the Avro aircraft company in the United Kingdom. While not being built in great numbers, it was the forerunner of the more famed and more successful four-engined Avro Lancaster, which was one of the most capable strategic bombers of the Second World War.
Avro designed the Manchester in conformance with the requirements laid out by the British Air Ministry Specification P.13/36, which sought a capable medium bomber with which to equip the Royal Air Force (RAF) and to replace its twin-engine bombers, such as the Armstrong Whitworth Whitley, Handley Page Hampden and Vickers Wellington."
31,MARY,Maryland,Martin Maryland,Light Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=485,The Martin Model 167 Maryland was an American light bomber that first flew in 1939. It saw action in World War II with France and the United Kingdom..
32,MOHA,Mohawk,Curtiss P-36 Hawk (Hawk 75 / Mohawk),Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=155,"The Curtiss P-36 Hawk, also known as the Curtiss Hawk Model 75, is an American-designed and built fighter aircraft of the 1930s and 40s. A contemporary of the Hawker Hurricane and Messerschmitt Bf 109, it was one of the first of a new generation of combat aircraft—a sleek monoplane design with a retractable undercarriage making extensive use of metal in its construction.
Perhaps best known as the predecessor of the Curtiss P-40 Warhawk, the P-36 saw little combat with the United States Army Air Forces during World War II."
33,P38,P38,Lockheed P-38 Lightning,Heavy Fighter / Fighter-Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=74,"The Lockheed P-38 Lightning is an American single-seat, twin-engined fighter aircraft that was used during World War II. Developed for the United States Army Air Corps (USAAC) by the Lockheed Corporation, the P-38 incorporated a distinctive twin boom design with a central nacelle containing the cockpit and armament."
34,P39,P39,Bell P-39 Airacobra,Fighter / Fighter-Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=140,The Bell P-39 Airacobra is a fighter produced by Bell Aircraft for the United States Army Air Forces during World War II. It was one of the principal American fighters in service when the United States entered combat.
35,P40,P40,Curtiss P-40 Warhawk,Fighter-Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=75,"The Curtiss P-40 Warhawk was a WWII fighter aircraft that was developed from the P-36 Hawk, via the P-37. Many variants were built, some in large numbers, under names including the Hawk, Tomahawk, and Kittyhawk.."
36,P400,P400,P-400 Airacobra (P-39 Airacobra),Fighter / Fighter-Bomber,http://en.wikipedia.org/wiki/Bell_P-39_Airacobra#P-400,The Bell P-39 Airacobra is a fighter produced by Bell Aircraft for the United States Army Air Forces during World War II. It was one of the principal American fighters in service when the United States entered combat.
37,P47,P47,Republic P-47 Thunderbolt,Fighter / Fighter-Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=76,The P-47 Thunderbolt is a World War II fighter aircraft built by Republic Aviation from 1941 to 1945..
38,P51,P51,North American P-51 Mustang,Fighter / Fighter-Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=77,"The North American Aviation P-51 Mustang is an American long-range, single-seat fighter and fighter-bomber used during World War II and the Korean War, among other conflicts. The Mustang was designed in 1940 by a team headed by James H."
39,P61,P61,Northrop P-61 / F-61 Black Widow,Night Fighter / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=78,The Northrop P-61 Black Widow is a twin-engine United States Army Air Forces fighter aircraft of World War II. It was the first U.S.
40,P70,P70,Douglas P-70 Nighthawk,Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=1214,"The Douglas A-20 Havoc (company designation DB-7) is an American light bomber, attack aircraft, night intruder, night fighter, and reconnaissance aircraft of World War II.
Designed to meet an Army Air Corps requirement for a bomber, it was ordered by France for its air force before the USAAC decided the aircraft would also meet its requirements. French DB-7s were the first to see combat; after the fall of France, the bomber served with the Royal Air Force under the service name Boston."
41,PV-1 Ventura,PV-1 Ventura,PV-1 Lockeed Ventura,Patrol Bomber,http://en.wikipedia.org/wiki/Lockeed_Ventura,Nenhum registro encontrado.
42,SBD,SBD Dauntless,Douglas SBD Dauntless,Carrier-borne Dive Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=297,"The Douglas SBD Dauntless is a World War II American naval scout plane and dive bomber that was manufactured by Douglas Aircraft from 1940 through 1944. The SBD (""Scout Bomber Douglas"") was the United States Navy's main carrier-based scout/dive bomber from mid-1940 through mid-1944."
43,STIR,Short Stirling,Short Stirling,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=308,"The Short Stirling was a British four-engined heavy bomber of the Second World War. It has the distinction of being the first four-engined bomber to be introduced into service with the Royal Air Force (RAF) during the war (the earlier Handley Page V/1500 being a WWI design that served during the 1920s).
The Stirling was designed during the late 1930s by Short Brothers to conform with the requirements laid out in Air Ministry Specification B.12/36."
44,SUND,Sunderland,Short S25 Sunderland,Long-Range Maritime / Reconnaissance Flying Boat,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=319,S25 can refer to:.
45,SWORD,Swordfish,Fairey Swordfish,Torpedo Bomber / Anti-Submarine / Reconnaissance / Trainer,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=571,"The Fairey Swordfish is a retired biplane torpedo bomber, designed by the Fairey Aviation Company. Originating in the early 1930s, the Swordfish, nicknamed ""Stringbag"", was principally operated by the Fleet Air Arm of the Royal Navy."
46,TBF Avenger,TBF Avenger,Grumman TBF Avenger,Carrier-Borne Torpedo Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=300,"The Grumman TBF Avenger (designated TBM for aircraft manufactured by General Motors) is an American World War II-era torpedo bomber developed initially for the United States Navy and Marine Corps and also eventually used by several air and naval aviation services around the world. From 1942-on, production of the Avenger (representing nearly three quarters of its the total production) was subcontracted to a purposely established division of General Motors: the Eastern Aircraft Division.
The Avenger entered U.S."
47,TOM,Tomahawk,Curtis P-40 Tomahawk,Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=1433,"The Curtiss P-40 Warhawk is an American single-engined, single-seat, all-metal fighter-bomber that first flew in 1938. The P-40 design was a modification of the previous Curtiss P-36 Hawk which reduced development time and enabled a rapid entry into production and operational service."
48,VALE,Valentia,Vikers Valentia,Bombing Transport / Cargo,http://en.wikipedia.org/wiki/Vickers_Type_264_Valentia,Nenhum registro encontrado.
49,VENGEANCE (A31),VENGEANCE (A31),Vultee A-31 Vengeance,Dive Bomber,http://en.wikipedia.org/wiki/Vultee_A-31_Vengeance,The Vultee A-31 Vengeance is an American dive bomber of World War II that was built by Vultee Aircraft. A modified version was called A-35.
50,WELL,WELLINGTON,Vickers Wellington,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=295,"The Vickers Wellington (nicknamed the Wimpy) is a British twin-engined, long-range medium bomber. It was designed during the mid-1930s at Brooklands in Weybridge, Surrey."
51,WHIT,WHITLEY,Armstrong Whitworth Whitley,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=309,Sir W. G.
52,Wirraway,Wirraway,CAC Wirraway,Multi-role Aircraft / Trainer,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=846,The CAC Wirraway is a training and general purpose military aircraft manufactured in Australia by the Commonwealth Aircraft Corporation (CAC) between 1939 and 1946. It was an Australian development of the North American NA-16 training aircraft.
